id,toss-pull-request-acceptance-rate,toss-review-duration,average-issue-resolution-time,issues-maintainer-response-duration
25813,None,None,186 days 25:00:54.815181,63.4194528875
25812,0.9463087248,7.1608698854,78 days 13:58:13.703125,26.9483870968
25821,None,None,634 days 11:28:51.190477,230.0909090909
25820,None,None,149 days 15:08:30.19375,44.0326086957
25579,0.6451612903,61.7785345018,344 days 22:54:18.300847,171.0649350649
25595,None,None,None,None
25596,None,None,249 days 34:10:35.322775,31.6975683891
25618,None,None,None,None
25755,1.0,0.0001041667,None,None
25788,0.7666263603,38.0240871586,94 days 28:00:07.404558,21.1072961373
25790,None,None,101 days 14:22:04.444444,82.96
25789,None,None,156 days 34:32:17.673913,53.0444444444
25794,None,None,307 days 18:48:06.938776,46.8470588235
25792,None,None,None,None
25793,None,None,176 days 19:22:11.612903,11.44
25796,1.0,1.779525463,None,None
25910,None,None,None,None
25768,None,None,255 days 29:03:15.904762,15.4146341463
25566,0.6363636364,36.0543967014,66 days 31:06:56.5,36.75
25546,None,None,None,None
25585,1.0,9.25926e-05,None,None
25487,1.0,56.1039814815,None,None
25873,None,None,None,None
25877,None,None,None,None
25775,None,None,None,None
25536,None,None,190 days 23:47:21.789473,57.7906976744
25922,None,None,3 days 06:38:30,4.0
25923,None,None,None,None
25576,None,None,None,None
25509,None,None,46 days 30:59:00,21.5
25435,0.5,40.3034259259,297 days 17:54:11.444444,24.375
25485,0.8644067797,12.964370915,224 days 27:31:55,186.3333333333
25649,None,None,None,None
25530,0.5,3.821246142,183 days 05:48:12,0.0
25671,0.8571428571,4.2965528549,425 days 12:26:40,None
25818,None,None,81 days 15:28:07.454545,28.8214285714
25690,0.8333333333,1.7961018519,None,None
25633,None,None,None,None
25636,None,None,None,None
25888,None,None,None,None
25627,None,None,None,None
25847,None,None,None,747.0
25829,None,None,254 days 25:04:55.1,0.5833333333
25591,0.4074074074,9.6805166246,83 days 29:37:35.292994,26.0092307692
25702,0.3157894737,13.9740540825,None,None
25845,None,None,206 days 10:04:19.692308,75.3333333333
25708,None,None,None,None
25480,None,None,None,None
25822,None,None,104 days 16:26:15.375,0.3333333333
25882,None,None,None,None
25836,None,None,None,None
25903,None,None,None,0.0
25685,None,None,None,None
25540,None,None,None,None
25639,None,None,None,None
25773,None,None,None,None
25527,1.0,0.2519907407,99 days 22:24:03.714286,9.1538461538
25878,None,None,None,None
25693,1.0,30.0193865741,None,None
25541,None,None,None,None
25568,None,None,None,None
25588,None,None,354 days 29:56:29.818182,102.4305555556
25684,None,None,None,None
25676,None,None,None,None
25514,None,None,None,None
25890,None,None,19 days 24:14:10.666667,9.3846153846
25879,None,None,None,None
25544,None,None,None,None
25439,0.9411764706,3.0897554977,15 days 29:14:01.5,2.6666666667
25764,None,None,None,None
25640,None,None,None,None
25772,None,None,68 days 13:32:44.662338,5.9552238806
25430,None,None,None,None
25578,None,None,None,None
25571,0.4,25.9260455247,221 days 17:22:31.416667,125.8
25902,None,None,481 days 17:13:39.363637,567.2727272727
25523,1.0,135.2225810185,281 days 13:41:41.5,27.5
25440,0.7272727273,111.317572338,180 days 21:53:44.416667,98.875
25824,None,None,89 days 28:20:47.2,75.8333333333
25441,1.0,0.0253819444,None,0.0
25437,None,None,None,None
25771,1.0,0.5679305556,82 days 28:50:52.666667,64.5
25908,None,None,03:06:05,None
25765,1.0,0.0031423611,None,None
