website,company,classification
burlingtonstores.com,Burlington Stores,corporate
unitedhealthgroup.com,UnitedHealth Group,corporate
intel.com,Intel,corporate
humana.com,Humana,corporate
disney.com,Disney,corporate
cisco.com,Cisco Systems,corporate
pfizer.com,Pfizer,corporate
dow.com,Dow Chemical,corporate
sysco.com,Sysco,corporate
fedex.com,FedEx,corporate
caterpillar.com,Caterpillar,corporate
lockheedmartin.com,Lockheed Martin,corporate
cvshealth.com,CVS Health,corporate
newyorklife.com,New York Life Insurance,corporate
coca-colacompany.com,Coca-Cola,corporate
hcahealthcare.com,HCA Holdings,corporate
ingrammicro.com,Ingram Micro,corporate
energytransfer.com,Energy Transfer Equity,corporate
tysonfoods.com,Tyson Foods,corporate
aa.com,American Airlines Group,corporate
delta.com,Delta Air Lines,corporate
nationwide.com,Nationwide,corporate
johnsoncontrols.com,Johnson Controls,corporate
gm.com,General Motors,corporate
bestbuy.com,Best Buy,corporate
merck.com,Merck,corporate
libertymutual.com,Liberty Mutual Insurance Group,corporate
gs.com,Goldman Sachs Group,corporate
honeywell.com,Honeywell International,corporate
massmutual.com,Massachusetts Mutual Life Insurance,corporate
oracle.com,Oracle,corporate
morganstanley.com,Morgan Stanley,corporate
cigna.com,Cigna,corporate
unitedcontinentalholdings.com,United Continental Holdings,corporate
ford.com,Ford Motor,corporate
allstate.com,Allstate,corporate
tiaa.org,TIAA,corporate
intlfcstone.com,INTL FCStone,corporate
chsinc.com,CHS,corporate
americanexpress.com,American Express,corporate
gilead.com,Gilead Sciences,corporate
publix.com,Publix Super Markets,corporate
generaldynamics.com,General Dynamics,corporate
tjx.com,TJX,corporate
conocophillips.com,ConocoPhillips,corporate
att.com,AT&T,corporate
nike.com,Nike,corporate
wfscorp.com,World Fuel Services,corporate
3m.com,3M,corporate
mondelezinternational.com,Mondelez International,corporate
exeloncorp.com,Exelon,corporate
21cf.com,Twenty-First Century Fox,corporate
johndeere.com,Deere,corporate
tsocorp.com,Tesoro,corporate
timewarner.com,Time Warner,corporate
redhat.com,Red Hat,corporate
samsung.com,Samsung,corporate
openwrt.org,OpenWRT,nonprofit
panasonic.com,Panasonic,corporate
comcast.net,Comcast,corporate
linux.org,Linux,nonprofit
linuxfoundation.org,Linux Foundation,nonprofit
northwesternmutual.com,Northwestern Mutual,corporate
kde.org,KDE,nonprofit
